score,num_of_harbor,count,color
8,0,12,blue
8,0,,blue
8,0,,blue
8,0,,blue
8,0,,blue
8,0,,blue
8,0,,blue
8,0,,blue
8,0,,blue
8,0,,blue
8,0,,blue
8,0,,blue
8,1,29,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,1,,green
8,2,23,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,2,,orange
8,3,7,lime
8,3,,lime
8,3,,lime
8,3,,lime
8,3,,lime
8,3,,lime
8,3,,lime
9,0,8,purple
9,0,,purple
9,0,,purple
9,0,,purple
9,0,,purple
9,0,,purple
9,0,,purple
9,0,,purple
9,1,24,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,1,,black
9,2,7,gray
9,2,,gray
9,2,,gray
9,2,,gray
9,2,,gray
9,2,,gray
9,2,,gray
9,3,2,pink
9,3,,pink
9,4,2,cyan
9,4,,cyan
10,0,14,gold
10,0,,gold
10,0,,gold
10,0,,gold
10,0,,gold
10,0,,gold
10,0,,gold
10,0,,gold
10,0,,gold
10,0,,gold
10,0,,gold
10,0,,gold
10,0,,gold
10,0,,gold
10,1,,gold
10,1,34,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,1,,red
10,2,30,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,2,,brown
10,3,5,navy
10,3,,navy
10,3,,navy
10,3,,navy
10,3,,navy
11,1,3,crimson
11,1,,crimson
11,1,,crimson
